,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,city_name,coordinates,Latitude,Longitude
0,8190209,8272948,8346693,8396091,8433806,8463049,8469153,8437478,8390081,8336817,"New York City, New York","New York, United States",40.7127281,-74.0060152
1,3795512,3820876,3851202,3881622,3909901,3938568,3963226,3975788,3977596,3979576,"Los Angeles, California","Los Angeles, Los Angeles County, California, United States",34.0536909,-118.24276599999999
2,2697477,2708114,2719141,2725731,2727066,2724344,2716723,2711069,2701423,2693976,"Chicago, Illinois","Chicago, Cook County, Illinois, United States",41.875561600000005,-87.6244212
3,1528283,1540466,1551824,1558313,1565460,1571065,1576051,1580601,1583592,1584064,"Philadelphia, Pennsylvania","Philadelphia, Philadelphia County, Pennsylvania, United States",39.9527237,-75.16352619999999
4,805505,815650,828876,839572,850750,863010,871512,878040,880696,881549,"San Francisco, California","San Francisco, San Francisco City and County, San Francisco, California, United States",37.779026200000004,-122.41990600000001
5,821579,827664,835499,844696,850164,853714,859049,863478,870960,876384,"Indianapolis, Indiana","Indianapolis, Marion, Indiana, United States",39.7683331,-86.1583502
6,605226,619800,634924,650581,662328,675400,685815,694906,701547,705749,"Washington, District of Columbia","Washington, District of Columbia, United States",38.8949924,-77.0365581
7,621048,630505,642955,653002,662855,670491,679848,687788,691147,692600,"Boston, Massachusetts","Boston, Suffolk County, Massachusetts, United States",42.3602534,-71.0582912
8,711131,705118,700183,691868,682609,679410,677143,674631,672977,670031,"Detroit, Michigan","Detroit, Wayne County, Michigan, United States",42.331550899999996,-83.04664029999999
9,652326,655341,658786,657146,654990,654106,652548,650878,651104,651073,"Memphis, Tennessee","Memphis, Shelby County, Tennessee, United States",35.1490215,-90.0516285
10,594865,597086,598569,599916,600664,600477,596996,593725,591375,590157,"Milwaukee, Wisconsin","Milwaukee, Milwaukee County, Wisconsin, United States",43.0349931,-87.92249699999999
11,429410,437812,449016,453990,461154,468303,479174,491670,498183,506811,"Atlanta, Georgia","Atlanta, Fulton County, Georgia, United States",33.7489924,-84.3902644
12,347772,360735,369787,378637,383940,389742,391843,391493,391004,390144,"New Orleans, Louisiana","New Orleans, Orleans Parish, Louisiana, United States",29.949932300000004,-90.0701156
13,395926,392667,391550,391792,390871,389244,387662,385252,383214,381009,"Cleveland, Ohio","Cleveland, Cuyahoga County, Ohio, United States",41.5051613,-81.6934446
14,296980,296187,296900,297905,298626,299439,299748,301587,302277,303940,"Cincinnati, Ohio","Cincinnati, Hamilton County, Ohio, United States",39.1014537,-84.5124602
15,319336,319344,319416,318476,317399,316010,312633,308233,303419,300576,"St. Louis, Missouri","City of Saint Louis, Missouri, United States",38.6264178,-90.1998378
16,239326,243620,249935,255135,262469,270786,278512,281804,285903,287442,"Orlando, Florida","Orlando, Orange County, Florida, United States",28.5421109,-81.3790304
17,204302,206391,210794,213860,217044,220856,225369,227230,229221,230436,"Richmond, Virginia","Richmond, Virginia, United States",37.53850870000001,-77.43428
18,229374,228643,228889,228346,227851,227202,226686,224414,222190,220236,"Baton Rouge, Louisiana","Baton Rouge, East Baton Rouge Parish, Louisiana, United States",30.445959600000002,-91.18738
19,193972,195292,196564,197143,197595,198178,198631,198314,197484,197312,"Little Rock, Arkansas","Little Rock, Pulaski County, Arkansas, United States",34.7464809,-92.2895948
20,166126,169012,170909,172275,175153,177356,178837,179877,182101,182437,"Fort Lauderdale, Florida","Fort Lauderdale, Broward County, Florida, United States",26.122308399999998,-80.14337859999999
21,146391,145593,146111,146049,145911,145928,145773,146015,145594,145233,"Paterson, New Jersey","Paterson, Passaic County, New Jersey, United States",40.916765399999996,-74.171811
22,120700,123012,125223,127246,129434,132413,134453,135626,136111,137566,"Charleston, South Carolina","Charleston, Charleston County, South Carolina, United States",32.7876012,-79.9402728
23,130774,131302,131761,131527,131781,133616,134129,134005,132770,131674,"Columbia, South Carolina","Columbia, Richland County, South Carolina, United States",34.000749299999995,-81.03433129999999
24,105008,105884,107886,112036,112993,113471,115685,116869,118151,118927,"Cambridge, Massachusetts","Cambridge, Middlesex County, Massachusetts, United States",42.3750997,-71.1056157
25,97949,99898,101994,104050,106754,108597,109738,110820,113077,115382,"North Charleston, South Carolina","North Charleston, Charleston County, South Carolina, United States",32.9131295,-80.0629981965219
26,110350,110074,110019,109733,109524,108993,108453,108277,108123,107568,"Waterbury, Connecticut","Waterbury, New Haven County, Connecticut, United States",41.5538091,-73.0438362
27,153569,153773,153933,154056,154376,154582,154028,154207,154329,153606,"Springfield, Massachusetts","Springfield, Hampden County, Massachusetts, United States",42.101876399999995,-72.5886727
28,96720,96782,98011,98849,99427,99669,99337,98986,99009,99143,"Roanoke, Virginia","Roanoke, Virginia, United States",37.270973,-79.94143129999999
29,400779,406593,411149,415661,425110,434738,449149,456617,462819,467963,"Miami, Florida","Miami, Miami-Dade County, Florida, United States",25.7741728,-80.19362
