,city,amount_awarded,Estimates Base,per capita
0,Atlanta,4761182.0,427059,11.148768671307712
1,Baltimore,18432748.0,229423,80.34394110442284
2,Baton Rouge,2879795.0,617792,4.661431355537139
3,Boston,11905482.0,105148,113.22594818731693
4,Charleston,1520250.0,120364,12.63043767239374
5,Chicago,467586464.0,2695652,173.4595059006133
6,Cincinnati,2472787.0,297025,8.325181382038549
7,Cleveland,28573475.0,396665,72.03427325324897
8,Columbia,1030935.0,130421,7.90467026015749
9,Detroit,57702989.0,713898,80.82805806992036
10,Fort Lauderdale,2371384.0,165754,14.30664720006757
11,Indianapolis,13148275.0,820457,16.025550394475275
12,Los Angeles,329925622.0,193538,1704.707199619713
13,Memphis,8772884.0,3793139,2.312829558842953
14,Miami,7284684.0,651873,11.175004947282677
15,Milwaukee,40017822.0,399481,100.1745314545623
16,New Orleans,2885642.0,594498,4.853913722165592
17,New York City,1704120487.0,343828,4956.316783391696
18,North Charleston,3333750.0,8175031,0.40779661875288303
19,Orlando,734379.0,97579,7.525994322548909
20,Paterson,5350426.0,238836,22.402091811954648
21,Philadelphia,116839475.0,146181,799.2794891264939
22,Richmond,201000.0,1526012,0.13171587117270375
23,Roanoke,132500.0,204375,0.6483180428134556
24,San Francisco,27873298.0,96910,287.6204519657414
25,Springfield,32846089.0,805184,40.7932708548605
26,St. Louis,3117847.0,153132,20.36051902933417
27,Washington,114829449.0,319289,359.64110570674217
28,Waterbury,2227250.0,601767,3.7011833483723766
